Source,Concentration,LOD,Type of Sample,Units,Type of Measure,Chemical,Role/Location,Sampling method
Su et al.,82.7,NA,Mobile-area,ppb,geomean,Ethanol,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,32.5,NA,Mobile-area,ppb,geomean,Acetone,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,20.2,NA,Mobile-area,ppb,geomean,2-Propanol,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Mobile-area,ppb,geomean,Chloroform,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,1.22,NA,Mobile-area,ppb,geomean,d-Limonene,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,13.1,NA,Mobile-area,ppb,geomean,TVOC11,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,480,NA,Mobile-area,ppb,geomean,TVOC14,Clinical laboratory technician,6-l Silonite™-evacuated canisters
Su et al.,269,NA,Personal,ppb,geomean,Ethanol,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,70.6,NA,Personal,ppb,geomean,Acetone,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,82.5,NA,Personal,ppb,geomean,2-Propanol,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.09,NA,Personal,ppb,geomean,Chloroform,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.04,NA,Personal,ppb,geomean,alpha-Pinene,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,0.38,NA,Personal,ppb,geomean,d-Limonene,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,126,NA,Personal,ppb,geomean,TVOC11,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,873,NA,Personal,ppb,geomean,TVOC14,Clinical laboratory technician,0.4-l Silonite™-evacuated canisters
Su et al.,1037,NA,Mobile-area,ppb,geomean,Ethanol,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,21.3,NA,Mobile-area,ppb,geomean,Acetone,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,671,NA,Mobile-area,ppb,geomean,2-Propanol,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,0.12,NA,Mobile-area,ppb,geomean,Chloroform,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,0.14,NA,Mobile-area,ppb,geomean,alpha-Pinene,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,1.28,NA,Mobile-area,ppb,geomean,d-Limonene,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,4.52,NA,Mobile-area,ppb,geomean,TVOC11,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,1973,NA,Mobile-area,ppb,geomean,TVOC14,Nursing assistant,6-l Silonite™-evacuated canisters
Su et al.,2594,NA,Mobile-area,ppb,geomean,Ethanol,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,40.8,NA,Personal,ppb,geomean,Acetone,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,1194,NA,Personal,ppb,geomean,2-Propanol,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,0.34,NA,Personal,ppb,geomean,Chloroform,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,0.16,NA,Personal,ppb,geomean,alpha-Pinene,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,1.57,NA,Personal,ppb,geomean,d-Limonene,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,15,NA,Personal,ppb,geomean,TVOC11,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,4367,NA,Personal,ppb,geomean,TVOC14,Nursing assistant,0.4-l Silonite™-evacuated canisters
Su et al.,2.31,NA,Mobile-area,ppb,geomean,Ethanol,Dental assistant,6-l Silonite™-evacuated canisters
Su et al.,17.9,NA,Mobile-area,ppb,geomean,Acetone,Dental assistant,6-l Silonite™-evacuated canisters
Su et al.,3667,NA,Mobile-area,ppb,geomean,2-Propanol,Dental assistant,6-l Silonite™-evacuated canisters
Su et al.,0.09,NA,Mobile-area,ppb,geomean,Chloroform,Dental assistant,6-l Silonite™-evacuated canisters
Su et al.,0.15,NA,Mobile-area,ppb,geomean,alpha-Pinene,Dental assistant,6-l Silonite™-evacuated canisters
Su et al.,1,NA,Mobile-area,ppb,geomean,d-Limonene,Dental assistant,6-l Silonite™-evacuated canisters
