Timestamp,Who is extracting data?,Title of Article,1st Author Last Name,Year of Publication,Journal,"Country of Healthcare Worker Data (If not provided, type NA)",What types of healthcare worker roles were included?,What was the type of healthcare facility?,Does it address cleaning and disinfection activities posing asthma risks to workers?,Does it address measurements (frequency and/or concentration) of cleaning/disinfection exposures during cleaning and disinfection in healthcare environments? (or animal studies),Does it capture asthma rates among healthcare workers with cleaning and disinfection activities as a potential risk factor?,Does the article address concentration of an exposure to cleaning and disinfection?,Describe the methods used.,What were the findings?,Does the article address frequency of cleaning and disinfection activity?,Describe the relationship (capture big picture and mention if quantitative data are available),"Were there differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rates as a a function of concentration of the exposure?,Describe the relationship.,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rate as a function of frequency of cleaning and disinfection activity?,Describe the relationship,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include types of chemical products?,"If so, please list the products or chemical types that are mentioned.",Were differences in exposure or asthma across different chemical types mentioned/described?,"Does the article include the phrase, ""dose-response""?",Notes on dose-response related concepts,Does the article address the number of years working in healthcare industry before asthma symptom onset?,What summary statistics on latency are provided? Please provide the summary statistics.,Does the article address the number of years working in the healthcare industry and asthma rates outcome among participants?,What was the relationship between # of years working in healthcare and asthma rates?,"Does the article include the term, ""latency""?",Notes on latency related concepts,Does the article include details regarding asthma outcome diagnosis?,How was asthma diagnosed or measured?,Does the article include details regarding the use of a diagnostic measurement?,What diagnostic measurement was used?,Does the article include details regarding the use of a questionnaire tool to measure asthma?,What questionnaire tool(s) was (were) used? Were the tools validated?,Does the article include details regarding self-reporting of physician diagnosed asthma?,How was the self reporting conducted?,Does the article include asthma rates or rate of another asthma outcome among healthcare workers?,What were the findings?,"Were differences across healthcare worker role or task described? If so, describe.",Notes on asthma diagnosis and/or reported rates.
2022/01/21 7:39:54 AM MST,Olusola,Development of a Job-Task-Exposure Matrix to assess occupational exposure to disinfectants among U.S. nurses,Quinot,2017,Occupational and Environmental Medicine,USA,Nurses,Not stated specifically but mostly hospitals,Yes,Yes,No,No,,,Yes,"From the results section of the Abstract: 
The most frequently reported disinfectants were alcohol (weekly use: 39%), bleach (22%) and sprays (20%). More nurses were classified as highly exposed by JTEM (alcohol 41%, sprays 41%, bleach 34%) than by JEM (21%, 30%, 26%, respectively). Agreement between JEM and JTEM was fair-to-moderate (kappa: 0.3–0.5) for most disinfectants. JEM and JTEM exposure estimates were heterogeneous in most nursing jobs, except in emergency room and education/administration.","From the Results section (page 6):
Fifty-four percent of nurses reported that they cleaned surfaces with disinfectants weekly, while 21% cleaned instruments with disinfectants weekly. Fifty-five percent of nurses reported using at least one of the 14 specific disinfectants weekly, 11% used them at least 1 hour per day and 20% performed only administrative tasks (Table 1). Across nursing jobs, the percentage of nurses using disinfectants 4–7 days/week ranged from 5% to 48%, while weekly use ranged from 19% to 88% (Table E3). Nurses in the emergency room, operating room and intensive care unit more often used disinfectants weekly to clean instruments or surfaces (>80%), as compared to other nursing jobs.",No,N/A,N/A,No,N/A,N/A,Yes,"From the Methods section (page 4):
The “job-task” axis of the JTEM included the 24 possible combinations of 8 types of nursing jobs by 3 categories of cleaning tasks (surfaces only, at least instruments, none). For the exposure axis of the JEM and JTEM, the 14 disinfectants and the general use of sprays were considered. However, only 7 disinfectants for which at least 10% of the nurses in at least one nursing job reported weekly exposure (alcohol, hypochlorite bleach, peroxide bleach, glutaraldehyde, quaternary ammonium compounds, enzymatic cleaners, formaldehyde), and sprays, were retained. The other 7 disinfectants (acetic acid, ammonia, chloramine T, ethylene oxide, ortho-phthalaldehyde, peracetic acid, phenolics) were grouped together as “other” (with requirement of exposure to at least one of these agents) since less than 10% of the women reported exposure, regardless of the nursing job.",Yes,No,N/A,No,,No,,No,N/A,No,,No,,No,,No,,No,,,N/A
2022/01/21 8:07:37 AM MST,Olusola,Exposures to Volatile Organic Compounds among Healthcare Workers: Modeling the Effects of Cleaning Tasks and Product Use,Su,2018,Annals of Work Exposures and Health,USA,"From the Methods section (Page 854):
Clinical laboratory technician, nursing assistant, dental assistant, dental laboratory technician, endoscopy technician, floor stripper/waxer, housekeeper, licensed practical nurse, medical appliance technician, medical equipment preparer, pharmacist/pharmacy technician, registered nurse, respiratory therapist, and surgical technologist",From the Methods section (Page 854): Four US Veterans Affairs (VA) hospitals and teaching hospitals.,Yes,Yes,Yes,Yes,"From the Methods sections (page 854):
Participants were monitored for one to
three shifts over a period of 1 week (LeBouf et al., 2014;
Saito et al., 2015). Mobile-area and personal samples
were collected using 6-l and 0.4-l Silonite™-evacuated
canisters, respectively (Entech Instruments, Inc., Simi
Valley, CA), with an inlet tube near the workers’ breathing
zone for the latter samples. Additionally, to estimate
background VOC levels, a total of 22 daily ambient air
samples were collected using the 6-l Silonite™-evacuated
canisters placed outside the hospital and away from
automobile traffic on each day of sampling. During VOC
sampling, systematic observations of participants were
conducted by trained technicians using standardized
data collection forms to record information at 5-min
intervals on tasks, activities, materials or products used
and their amounts (low, high), work location, engineering
controls, and personal protective equipment use,
including cleaning tasks and product use by other workers
in the same area (‘secondhand exposure’).
The analytical method targeted 14 specific VOCs
(ethanol, acetone, 2-propanol, methylene chloride, hexane,
chloroform, benzene, methyl-methacrylate, toluene,
ethylbenzene, m,p-xylene, o-xylene, α-pinene,
and d-limonene) based on a pilot study done at one
of the three VA hospital as previously described by
LeBouf (2012). The percentage of measurements below
the limits of detection (LODs) ranged from 84.6%
(α-pinene in personal samples) to 0% (acetone and toluene
in personal, and acetone in mobile-area samples).
Measurements below the LODs were replaced by imputations,
which were randomly simulated from 0 to the
corresponding LODs (Ganser and Hewett, 2010).","From the Results section of the Abstract:
Cluster analysis identified eight task/product-use clusters that were distributed across multiple occupations and hospital units, with the exception of clusters consisting of housekeepers and floor strippers/waxers. Results of the mixed-effect models showed significant associations between selected VOC exposures and several clusters, combinations of IH-generated task groups and chemical ingredients, and product application groups. The patient/personal cleaning task using products containing chlorine was associated with elevated levels of personal chloroform and α-pinene exposures.
Tasks associated with instrument sterilizing and disinfecting were significantly associated with personal d-limonene and 2-propanol exposures. Surface and floor cleaning and stripping tasks were predominated by housekeepers and floor strippers/waxers, and use of chlorine-, alcohol-, ethanolamine-, and quaternary ammonium compounds-based products was associated with exposures to chloroform, α-pinene, acetone, 2-propanol, or d-limonene.",No,,,No,N/A,N/A,No,N/A,N/A,Yes,"From the Methods section (page 854):
The analytical method targeted 14 specific VOCs
(ethanol, acetone, 2-propanol, methylene chloride, hexane,
chloroform, benzene, methyl-methacrylate, toluene,
ethylbenzene, m,p-xylene, o-xylene, α-pinene,
and d-limonene).",No,No,N/A,No,,No,,No,N/A,No,,No,,No,,No,,No,,,N/A
2022/02/28 9:37:01 AM MST,Amanda,Induction of airway hyperresponsiveness and specific-antibodies with ortho-phthalaldehyde inhalation in mice,Morinaga,2010,Am. J. Respir. Crit. Care Med.,NA,NA,NA,Yes,Yes,No,Yes,"Female ICR mice exposed to 0.05% OPA/saline solution - nebulized - nose-only inhalation chamber for 1 hr per day on days 0, 2, 4, 6, 8, and 10. OPA-specific IgE and IgG antibodies in serum measured on day 16. Challenge on day 17 with 0.05% OPA/saline solution for 30 minutes.",Inhalation of OPA aerosol for 6 times resulted in increased OPA specific-IgE and IgG in serum of mice. OPA-treated mice revealed acetylcholine-induced airway hyperresponsiveness.,No,,,No,,,No,,,Yes,Ortho-phthalaldehyde (OPA),No,No,,No,,No,,No,,No,,No,,No,,No,,No,,,
2022/02/28 9:54:23 AM MST,Amanda,Update on asthma and cleaners,Zock,2010,Curr Opin Allergy Clin Immunol.,NA,Mentions healthcare professionals generally,Variety of studies but specific facility type not mentioned,Yes,Yes,Yes,No,,,Yes,"Discusses use of job exposure matrices for studies of healthcare professionals and other professions - increased frequency associated with increased asthma risks. In a home cleaning study, ""frequent use of bleach"" referred to as ""four or more days per week.""",NA,No,,,Yes,"Household cleaning product study: ""significant 30% to 50% increased risk of incident asthma related to use of products in spray-form at least once a week"", ""Among other products, not used in spray applications, weekly use of hypochlorite bleach was non-significantly associated with new-onset asthma (RR between 1.1 and 1.3).""

""An increased risk of incident asthma was also observed for the group of 291 nurses (RR 2.2; CI 1.3-4.0)",Some discussion of rates among different job types (not all related to healthcare),Yes,"Chlorine bleach, spray vs. non-spray, ",Yes,No,Interesting big picture ideas that could be useful for general discussion in paper,Yes,"""Data were linked to physician billing data, and incident cases of asthma were identified as new onset adult asthma in the 12 months prior to a claim without asthma in the previous 3 years.""",No,,Yes,"Discusses need for ""both new-onset asthma, with and without latency periods, and work-exacerbated asthma"" in future work",Yes,"For some studies included in the review, they do not specify. For others, they say that ""questionnaires, skin prick testing and pulmonary function tests"" were used.",No,,No,,No,,Yes,"""An increased risk for incident asthma was also observed for the group of 291 nurses (RR 2.2; CI 1.3–4.0). A more specific analysis was reported in a separate paper using information from job-specific questionnaires that had been obtained for nurses in the ECRHS II interviews [6]. The highest risks of incident asthma were found among nurses who used ammonia, bleach and/or cleaning products in spray form at work.""",NA,
2022/02/28 10:18:47 AM MST,Amanda,In this issue of Occupational Medicine: Plenty still to learn,Beach,2009,Occup. Med.,NA,NA,NA,Yes,No,No,No,,,No,,,No,,,No,,,Yes,low-molecular-weight substances; aldehydes and quaternary amine compounds; chlorhexidine,No,No,,Yes,"(not specifically about healthcare workers, but still relevant): ""However, in terms of time to diagnosis, only 28% of cases progressed from initial symptoms to final diagnosis within the target time of 2 years, and median time from onset of symptoms to final diagnosis was 3.0–3.2 years.""; ""Other papers in this issue report 30% of museum workers at the National Museum in Warsaw sensitized to fungi, the risk of sensitization being 14-fold more for workers with more than 5 years of occupational exposure compared with 5 years or less [7]...""",No,,No,,Yes,Questionnaire; self reported diagnosis,No,,Yes,"questionnaire by Lynde et al.: . Lynde CB, Obadia M, Liss GM, Ribeiro M, Holness DL,
Tarlo SM. Cutaneous and respiratory symptoms among
professional cleaners. Occup Med (Lond) 2009;59:249–254

(for cleaners, not healthcare workers)",Yes,With questionnaire,No,,,"Info for cleaners in general but not for healthcare workers, specifically"
2022/03/02 8:51:12 PM MST,Tina,Respiratory symptoms of exposure to substances in the workplace among Bulgarian dentists,Stoeva,2021,Community Dentistry & Oral Epidemiology,Bulgaria,Dentists,Dental healthcare,Yes,No,No,No,,,No,,,No,NA,No,No,NA,NA,No,NA,No,No,NA,Yes,"The risk for work-related respiratory symptoms was greater with more work experience (11-20 years work experience OR 1.62, 95% CI: 1.25-2.10; >20 years OR 2.17, 95% CI: 1.74-2.70)",Yes,Work experience >20 years is one of the risk indicators for work-related respiratory symptoms among dentists,No,NA,No,,No,,Yes,Self-administered online questionnaire via Google drive. It was validated,No,,No,,,"Duration of working day ≥6 hours was associated with fewer dentists reporting work-related respiratory symptoms (OR 0.84, 95% CI: 0.70-0.99)"
2022/03/03 3:32:55 PM MST,Tina,Work-Related Asthma Among Certified Nurse Aides in Texas.,Patel,2020,Workplace Health and Safety,USA,Nurse aides,"Hospitals and hospital units such as intensive care units, nursing homes, home health settings, outpatient clinics, and other respective units",Yes,No,Yes,No,,,No,,,No,NA,"Table 1 shows cleaning-related exposures were classified into tasks categories: Patient care cleaning and disinfection, instrument cleaning (including endoscopy), and building surface cleaning (including use of sprays)",No,NA,"Table 1 shows cleaning-related exposures were classified into tasks categories: Patient care cleaning and disinfection, instrument cleaning (including endoscopy), and building surface cleaning (including use of sprays)",Yes,"1) Patient cleaning and disinfection
2) Instrument cleaning (Endoscopy, Glutaraldehyde, Orthophthaldehyde, Enzymatic    cleaners)
3) Building surface cleaning (Bleach, Quaternary ammonium compounds, Sprays, Stripping/waxing/buffing)",Yes,No,NA,Yes,Years at job before onset of asthma (in table 3),Yes,"No significant differences between samples with respect to age, gender, race, obesity, smoking status, or years at job",No,NA,Yes,"
Physician-diagnosed asthma with onset after entry into the health care profession was based on the questions “Have you ever had asthma?” and “If YES, has your asthma been confirmed by a doctor?.” 

For “New onset for persons with a history of physician-diagnosed asthma,” there was a comparison between the age at which this diagnosis was made to the number of years employed as a health care professional.",No,,Yes,"Validated questionnaire adapted from (Delclos et al., 2006, 2007- who also referenced someone else)",Yes,The questionnaire included questions about if physician has diagnosed them with asthma after entry into health profession,Yes,"There were few cases of new-onset asthma  (n= 11). Of which five were current or former smokers, and three had atopy. Bronchial hyperresponsiveness (BHR) symptoms were considered as the main outcome in the multivariable analysis",Yes (table 3),NA
2022/03/05 11:33:58 PM MST,Tina,"Cleaning Products and Work-Related Asthma, 10 Year Update.",Rosenman,2020,Journal of Occupational and Environmental Medicine,United States,"Registered nurses, Licensed practical nurses, Clinical laboratory technician, Therapists, Paramedics","Hospital, Nursing facility, Ambulatory health care services",Yes,No,No,No,,,No,,,Yes,"Exposure for WRA from unspecified general cleaners (31.2%), floor strippers (15.8%); bleach (12.3%)","Table 2: ""Industries Where Exposure to Cleaning Products was Associated With Work-Related Asthma: California, Massachusetts, Michigan, New Jersey, and New York, 1993 to 2012""",No,NA,Table 2,Yes,"Bleach, Carpet cleaner, Oxiders, Graffiti remover, Glycol ethers, Hydrocarbons, Quarternary ammonia compounds (Full list in table 4)",Yes,No,NA,No,,No,,Yes,New onset WRA cases were classified as: asthma without a latency period between exposure and disease ,Yes,Physician's diagnosis consistent with asthma associated with work,No,,Yes,Standardized follow up questionnaires were administered by telephone ,No,,No,,,NA
2022/03/14 1:28:56 AM MDT,Tina,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Dumas,2019,JAMA Network Open,United States,Nurses,Hospital,Yes,Yes,Yes,No,,,Yes,"Weekly use of any disinfectants was positively associated with COPD incidence, with an adjusted hazard ratio (AHR) of1.35 (95% CI, 1.14-1.59)","Associations were observed for use of disinfectants both to clean surfaces only (AHR, 1.38; 95% CI, 1.13-1.68) and to clean medical instruments (AHR, 1.31; 95% CI, 1.07-1.61). ",Yes,"No statistically significant association was observed between high-level exposure to enzymatic cleaners (AHR, 1.05; 95% CI, 0.84-1.31) or formaldehyde (AHR, 1.20; 95% CI, 0.92-1.57) and COPD incidence. Whereas, high-level exposure to glutaraldehyde, bleach, hydrogen peroxide, alcohol, and quaternary ammonium compounds was significantly associated with increased risk of COPD incidence, with AHRs ranging from 1.25 (95% CI,1.04-1.51) to 1.36 (95% CI, 1.13-1.64). Table 3",Differences in Healthcare worker role in table 1,Yes,"When disinfection tasks was examined, risk of COPD incidence was highest among nurses with the greatest frequency of use (4-7 d/wk)",No,Yes,"Formaldehyde, glutaraldehyde, hypochlorite bleach, hydrogen peroxide, alcohol, quaternary ammonium compounds, and enzymatic cleaners",Yes,Yes,A significant dose-response association was observed for the use of any disinfectants,No,,No,,No,NA,Yes,"A supplemental questionnaire on COPD was sent to participants who reported a physician’s diagnosis of emphysema or chronic bronchitis in any past biennial questionnaire. Based on this information participants who reiterated that a physician had diagnosed them as having emphysema, chronic bronchitis, COPD, or any combination of these were selected.",Yes,spirometry-defined COPD,Yes,Incident physician-diagnosed COPD evaluated by questionnaire (not validated),Yes,Self-reported cleaning/disinfection tasks and exposure to several specific disinfectants was evaluated by a job-task-exposure matrix (JTEM),Yes,Weekly use of disinfectants to clean surfaces only (16 786 [22.9%] of participants exposed) and to clean medical instruments (13 899 [19.0%] exposed) was associated with COPD incidence,Significant trend toward an increased risk of COPD incidence was observed when classifying jobs according to the level of disinfectant use (Table 2),NA
2022/03/15 11:24:33 PM MDT,Tina,Asthma associated with denatonium benzoate in a healthcare worker in Taiwan: A case report.,Chen,2019,Medicine,Taiwan,Nurse,Hospital,Yes,No,Yes,Yes,"Respirator fit test was first performed to screen the ability of the examinee to detect (taste) aerosolized droplets of a dilute solution of denatonium benzoate; examinee then wears thee respirator for the 2nd part of the test, and a more concentrated solution of the denatonium benzoate is sprayed into the hood while the individual performs a set of actions.","Upon physical examination, the examinee appeared dyspneic. ",No,,,No,NA,No,No,NA,No,Yes,"quaternary ammonium, denatonium benzoate",No,No,NA,Yes,No summary statistics. She had worked at a hospital for 3years before hospitalization with severe asthma; after joining the respirator fit testing program,No,,Yes,"The article only referenced previous studies on how exposure to ingredients in cleaning products may give rise to both new-onset asthma, with or without a latency period, and work-exacerbated asthma",Yes,Diagnoses of allergic asthma was based on pulmonary function tests indicating obstructive lung function and a higher concentration of immunoglobulin antibody E.,Yes,Chest roentgenogram (FEV1; FVC),No,,No,,No,,,NA
