1st Author,Title,Frequency Measure,Categories,Type of Outcome,Type of outcome 2,Outcomev2,Outcome,Outcome 2,Value of Outcome,95% CI Lower,95% CI Upper
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,None,Adjusted HR,HR,COPD,COPD,COPD,1,1,1
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,Any disinfectant,Adjusted HR,HR,COPD,COPD,COPD,1.35,1.14,1.59
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,Surface only,Adjusted HR,HR,COPD,COPD,COPD,1.35,1.11,1.65
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,Instruments,Adjusted HR,HR,COPD,COPD,COPD,1.35,1.1,1.65
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of sprays,No,Adjusted HR,HR,COPD,COPD,COPD,1,1,1
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of sprays,Yes,Adjusted HR,HR,COPD,COPD,COPD,1,1,1
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,None,Multivar-adjusted HR,HR,COPD,COPD,COPD,1,1,1
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,Any disinfectant,Multivar-adjusted HR,HR,COPD,COPD,COPD,1.35,1.14,1.59
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,Surface only,Multivar-adjusted HR,HR,COPD,COPD,COPD,1.38,1.13,1.68
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of disinfectant,Instruments,Multivar-adjusted HR,HR,COPD,COPD,COPD,1.31,1.07,1.61
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of sprays,No,Multivar-adjusted HR,HR,COPD,COPD,COPD,1,1,1
Dumas,Association of Occupational Exposure to Disinfectants With Incidence of Chronic Obstructive Pulmonary Disease Among US Female Nurses,Weekly use of sprays,Yes,Multivar-adjusted HR,HR,COPD,COPD,COPD,1.27,0.97,1.66
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,Post-hire asthma,Post-hire asthma,Asthma,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,Post-hire asthma,Post-hire asthma,Asthma,1.76,1.09,2.85
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,Current asthma,Current asthma,Asthma,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,Current asthma,Current asthma,Asthma,1.84,1.26,2.68
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,Any exacerbation,Any exacerbation,Exacerbation,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,Any exacerbation,Any exacerbation,Exacerbation,2.37,1.29,4.34
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,Moderate exacerbation,Moderate exacerbation,Exacerbation,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,Moderate exacerbation,Moderate exacerbation,Exacerbation,3.1,1.25,7.67
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,Severe exacerbation,Severe exacerbation,Exacerbation,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,Severe exacerbation,Severe exacerbation,Exacerbation,1.81,0.8,4.08
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,BHR-related symptoms,BHR-related symptoms,BHR,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,BHR-related symptoms,BHR-related symptoms,BHR,1.38,1.08,1.77
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,Asthma symptom score,Asthma symptom score,Asthma,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,Asthma symptom score,Asthma symptom score,Asthma,1.47,1.2,1.8
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,No,OR,OR,Wheezing for whistling in the last 12 months,Wheezing for whistling in the last 12 months,Respiratory symptoms,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Clean fixed surfaces,Yes,OR,OR,Wheezing for whistling in the last 12 months,Wheezing for whistling in the last 12 months,Respiratory symptoms,1.45,1.08,1.94
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,No,OR,OR,Post-hire asthma,Post-hire asthma,Asthma,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,Yes,OR,OR,Post-hire asthma,Post-hire asthma,Asthma,1.36,0.73,2.51
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,No,OR,OR,Current asthma,Current asthma,Asthma,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,Yes,OR,OR,Current asthma,Current asthma,Asthma,1.21,0.74,2
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,No,OR,OR,Any exacerbation,Any exacerbation,Exacerbation,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,Yes,OR,OR,Any exacerbation,Any exacerbation,Exacerbation,0.42,0.16,1.09
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,No,OR,OR,BHR-related symptoms,BHR-related symptoms,BHR,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,Yes,OR,OR,BHR-related symptoms,BHR-related symptoms,BHR,1.63,1.2,2.22
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,No,OR,OR,Asthma symptom score,Asthma symptom score,Asthma,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,Yes,OR,OR,Asthma symptom score,Asthma symptom score,Asthma,1.21,0.92,1.58
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,No,OR,OR,Wheezing for whistling in the last 12 months,Wheezing for whistling in the last 12 months,Respiratory symptoms,1,1,1
Caridi,Occupation and task as risk factors for asthma-related outcomes among healthcare workers in New York City,Sterilize Medical Equipment,Yes,OR,OR,Wheezing for whistling in the last 12 months,Wheezing for whistling in the last 12 months,Respiratory symptoms,1.05,0.71,1.55
Mirabelli,Occupational risk factors for asthma among nurses and related healthcare professionals in an international study,Disinfection,No,RR,RR,New-onset asthma,New-onset asthma,Asthma,1,1,1
